ASSESSMENT_START_TIME;FINDING_UNIQUE_ID;PROVIDER;CHECK_ID;CHECK_TITLE;CHECK_TYPE;STATUS;STATUS_EXTENDED;SERVICE_NAME;SUBSERVICE_NAME;SEVERITY;RESOURCE_TYPE;RESOURCE_DETAILS;RESOURCE_TAGS;DESCRIPTION;RISK;RELATED_URL;REMEDIATION_RECOMMENDATION_TEXT;REMEDIATION_RECOMMENDATION_URL;REMEDIATION_RECOMMENDATION_CODE_NATIVEIAC;REMEDIATION_RECOMMENDATION_CODE_TERRAFORM;REMEDIATION_RECOMMENDATION_CODE_CLI;REMEDIATION_RECOMMENDATION_CODE_OTHER;COMPLIANCE;CATEGORIES;DEPENDS_ON;RELATED_TO;NOTES;PROFILE;ACCOUNT_ID;ACCOUNT_NAME;ACCOUNT_EMAIL;ACCOUNT_ARN;ACCOUNT_ORG;ACCOUNT_TAGS;REGION;RESOURCE_ID;RESOURCE_ARN
2026-06-07T12:39:22.432298;prowler-aws-account_maintain_current_contact_details-578739262764-us-east-1-578739262764;aws;account_maintain_current_contact_details;Maintain current contact details.;IAM;INFO;Manual check: Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;account;;medium;Other;;;Maintain current contact details.;"Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details; and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner; AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation; proactive measures may be taken; including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question.";;Using the Billing and Cost Management console complete contact details.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;No command available.;https://docs.bridgecrew.io/docs/iam_18-maintain-contact-details#aws-console;CIS-1.4: 1.1 | CIS-1.5: 1.1 | CIS-2.0: 1.1 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | ENS-RD2022: op.ext.7.aws.am.1;;;;;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-account_maintain_different_contact_details_to_security_billing_and_operations-578739262764-us-east-1-578739262764;aws;account_maintain_different_contact_details_to_security_billing_and_operations;Maintain different contact details to security, billing and operations.;IAM;FAIL;SECURITY, BILLING and OPERATIONS contacts not found or they are not different between each other and between ROOT contact.;account;;medium;Other;;;Maintain different contact details to security, billing and operations.;"Ensure contact email and telephone details for AWS accounts are current and map to more than one individual in your organization. An AWS account supports a number of contact details; and AWS will use these to contact the account owner if activity judged to be in breach of Acceptable Use Policy. If an AWS account is observed to be behaving in a prohibited or suspicious manner; AWS will attempt to contact the account owner by email and phone using the contact details listed. If this is unsuccessful and the account behavior needs urgent mitigation; proactive measures may be taken; including throttling of traffic between the account exhibiting suspicious behavior and the AWS API endpoints and the Internet. This will result in impaired service to and from the account in question.";https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;Using the Billing and Cost Management console complete contact details.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;;https://docs.bridgecrew.io/docs/iam_18-maintain-contact-details#aws-console;;;;;;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-account_security_contact_information_is_registered-578739262764-us-east-1-578739262764;aws;account_security_contact_information_is_registered;Ensure security contact information is registered.;IAM;INFO;Manual check: Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;account;;medium;Other;;;Ensure security contact information is registered.;AWS provides customers with the option of specifying the contact information for accounts security team. It is recommended that this information be provided. Specifying security-specific contact information will help ensure that security advisories sent by AWS reach the team in your organization that is best equipped to respond to them.;;Go to the My Account section and complete alternate contacts.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-update-contact.html;;;No command available.;https://docs.bridgecrew.io/docs/iam_19#aws-console;CIS-1.4: 1.2 | CIS-1.5: 1.2 | AWS-Foundational-Security-Best-Practices: account, acm | CIS-2.0: 1.2 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | ENS-RD2022: op.ext.7.aws.am.1;;;;;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-account_security_questions_are_registered_in_the_aws_account-578739262764-us-east-1-578739262764;aws;account_security_questions_are_registered_in_the_aws_account;Ensure security questions are registered in the AWS account.;IAM;INFO;Manual check: Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;account;;medium;Other;;;Ensure security questions are registered in the AWS account.;The AWS support portal allows account owners to establish security questions that can be used to authenticate individuals calling AWS customer service for support. It is recommended that security questions be established. When creating a new AWS account a default super user is automatically created. This account is referred to as the root account. It is recommended that the use of this account be limited and highly controlled. During events in which the root password is no longer accessible or the MFA token associated with root is lost/destroyed it is possible through authentication using secret questions and associated answers to recover root login access.;;Login as root account and from My Account configure Security questions.;https://docs.aws.amazon.com/accounts/latest/reference/manage-acct-security-challenge.html;;;No command available.;https://docs.bridgecrew.io/docs/iam_15;CIS-1.4: 1.3 | CIS-1.5: 1.3 | CIS-2.0: 1.3 | AWS-Well-Architected-Framework-Security-Pillar: SEC03-BP03, SEC10-BP01 | ENS-RD2022: op.ext.7.aws.am.1;;;;;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-backup_vaults_exist-578739262764-us-east-1-578739262764;aws;backup_vaults_exist;Ensure AWS Backup vaults exist;Recover,Resilience,Backup;FAIL;No Backup Vault exist.;backup;;low;AwsBackupBackupVault;;;This check ensures that AWS Backup vaults exist to provide a secure and durable storage location for backup data.;Without an AWS Backup vault, an organization's critical data may be at risk of being lost in the event of an accidental deletion, system failures, or natural disasters.;https://docs.aws.amazon.com/aws-backup/latest/devguide/vaults.html;Use AWS Backup to create backup vaults for your critical data and services.;https://docs.aws.amazon.com/aws-backup/latest/devguide/vaults.html;;;aws backup create-backup-vault --backup-vault-name <backup_vault_name>;;ENS-RD2022: mp.info.6.aws.bcku.1;;;;;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-cloudtrail_multi_region_enabled_logging_management_events-578739262764-us-east-1-578739262764;aws;cloudtrail_multi_region_enabled_logging_management_events;Ensure CloudTrail logging management events in All Regions;CIS AWS Foundations Benchmark;FAIL;No trail found with multi-region enabled and logging management events.;cloudtrail;;low;AwsCloudTrailTrail;;;Ensure CloudTrail logging management events in All Regions;AWS CloudTrail enables governance, compliance, operational auditing, and risk auditing of your AWS account. To meet FTR requirements, you must have management events enabled for all AWS accounts and in all regions and aggregate these logs into an Amazon Simple Storage Service (Amazon S3) bucket owned by a separate AWS account.;https://docs.bridgecrew.io/docs/logging_14;Enable CloudTrail logging management events in All Regions;https://docs.bridgecrew.io/docs/logging_14;;https://docs.bridgecrew.io/docs/logging_14#terraform;aws cloudtrail update-trail --name <trail_name> --is-multi-region-trail;https://docs.bridgecrew.io/docs/logging_14;;forensics-ready;;;;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-cloudtrail_s3_dataevents_read_enabled-578739262764-us-east-1-578739262764;aws;cloudtrail_s3_dataevents_read_enabled;Check if S3 buckets have Object-level logging for read events is enabled in CloudTrail.;Logging and Monitoring;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;cloudtrail;;low;AwsS3Bucket;;;Ensure that all your AWS CloudTrail trails are configured to log Data events in order to record S3 object-level API operations, such as GetObject, DeleteObject and PutObject, for individual S3 buckets or for all current and future S3 buckets provisioned in your AWS account.;If logs are not enabled, monitoring of service use and threat analysis is not possible.;;Enable logs. Create an S3 lifecycle policy. Define use cases, metrics and automated responses where applicable.;https://docs.aws.amazon.com/AmazonS3/latest/userguide/enable-cloudtrail-logging-for-s3.html;;;aws cloudtrail put-event-selectors --trail-name <YOUR_TRAIL_NAME_HERE> --event-selectors '[{ 'ReadWriteType': 'ReadOnly', 'IncludeManagementEvents':true, 'DataResources': [{ 'Type': 'AWS::S3::Object', 'Values': ['arn:aws:s3'] }] }]';;CISA: your-systems-3, your-data-2 | SOC2: cc_2_1, cc_7_2 | CIS-1.4: 3.11 | CIS-1.5: 3.11 | GDPR: article_30 | HIPAA: 164_308_a_1_ii_d, 164_308_a_3_ii_a, 164_308_a_6_ii, 164_312_a_2_i, 164_312_b, 164_312_e_2_i | CIS-2.0: 3.11 | GxP-21-CFR-Part-11: 11.10-e, 11.10-k | AWS-Well-Architected-Framework-Security-Pillar: SEC04-BP01 | GxP-EU-Annex-11: 8.2-printouts-data-changes, 9-audit-trails, 12.4-security-audit-trail | NIST-800-171-Revision-2: 3_1_12, 3_3_1, 3_3_2, 3_3_3, 3_13_1, 3_14_6, 3_14_7 | NIST-800-53-Revision-4: ac_2, au_2, au_3, au_12 | NIST-800-53-Revision-5: ac_2_4, ac_3_1, ac_3_10, ac_4_26, ac_6_9, au_2_b, au_3_a, au_3_b, au_3_c, au_3_d, au_3_e, au_3_f, au_6_3, au_6_4, au_6_6, au_6_9, au_8_b, au_10, au_12_a, au_12_c, au_12_1, au_12_2, au_12_3, au_12_4, au_14_a, au_14_b, au_14_3, ca_7_b, cm_5_1_b, cm_6_a, cm_9_b, ia_3_3_b, ma_4_1_a, pm_14_a_1, pm_14_b, pm_31, sc_7_9_b, si_1_1_c, si_3_8_b, si_4_2, si_4_17, si_4_20, si_7_8, si_10_1_c | ENS-RD2022: op.exp.8.r1.aws.ct.2, op.exp.8.r1.aws.ct.4 | NIST-CSF-1.1: ae_3, ae_4, cm_1, cm_3, cm_6, cm_7, ds_5 | RBI-Cyber-Security-Framework: annex_i_7_4 | FFIEC: d2-ma-ma-b-1, d2-ma-ma-b-2, d3-dc-an-b-3, d3-dc-an-b-4, d3-dc-ev-b-1, d5-dr-de-b-3 | FedRamp-Moderate-Revision-4: ac-2-4, ac-2-g, au-2-a-d, au-3, au-6-1-3, au-12-a-c, ca-7-a-b, si-4-16, si-4-2, si-4-4, si-4-5 | FedRAMP-Low-Revision-4: ac-2, au-2, ca-7;;;;;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-cloudtrail_s3_dataevents_write_enabled-578739262764-us-east-1-578739262764;aws;cloudtrail_s3_dataevents_write_enabled;Check if S3 buckets have Object-level logging for write events is enabled in CloudTrail.;Logging and Monitoring;FAIL;No CloudTrail trails have a data event to record all S3 object-level API operations.;cloudtrail;;low;AwsS3Bucket;;;Ensure that all your AWS CloudTrail trails are configured to log Data events in order to record S3 object-level API operations, such as GetObject, DeleteObject and PutObject, for individual S3 buckets or for all current and future S3 buckets provisioned in your AWS account.;If logs are not enabled, monitoring of service use and threat analysis is not possible.;;Enable logs. Create an S3 lifecycle policy. Define use cases, metrics and automated responses where applicable.;https://docs.aws.amazon.com/AmazonS3/latest/userguide/enable-cloudtrail-logging-for-s3.html;;;aws cloudtrail put-event-selectors --trail-name <YOUR_TRAIL_NAME_HERE> --event-selectors '[{ 'ReadWriteType': 'WriteOnly', 'IncludeManagementEvents':true, 'DataResources': [{ 'Type': 'AWS::S3::Object', 'Values': ['arn:aws:s3'] }] }]';;CISA: your-systems-3, your-data-2 | SOC2: cc_2_1, cc_7_2 | CIS-1.4: 3.10 | CIS-1.5: 3.10 | GDPR: article_30 | HIPAA: 164_308_a_1_ii_d, 164_308_a_3_ii_a, 164_308_a_6_ii, 164_312_a_2_i, 164_312_b, 164_312_e_2_i | CIS-2.0: 3.10 | GxP-21-CFR-Part-11: 11.10-e, 11.10-k | AWS-Well-Architected-Framework-Security-Pillar: SEC04-BP01 | GxP-EU-Annex-11: 8.2-printouts-data-changes, 9-audit-trails, 12.4-security-audit-trail | NIST-800-171-Revision-2: 3_1_12, 3_3_1, 3_3_2, 3_3_3, 3_13_1, 3_14_6, 3_14_7 | NIST-800-53-Revision-4: ac_2, au_2, au_3, au_12 | NIST-800-53-Revision-5: ac_2_4, ac_3_1, ac_3_10, ac_4_26, ac_6_9, au_2_b, au_3_a, au_3_b, au_3_c, au_3_d, au_3_e, au_3_f, au_6_3, au_6_4, au_6_6, au_6_9, au_8_b, au_10, au_12_a, au_12_c, au_12_1, au_12_2, au_12_3, au_12_4, au_14_a, au_14_b, au_14_3, ca_7_b, cm_5_1_b, cm_6_a, cm_9_b, ia_3_3_b, ma_4_1_a, pm_14_a_1, pm_14_b, pm_31, sc_7_9_b, si_1_1_c, si_3_8_b, si_4_2, si_4_17, si_4_20, si_7_8, si_10_1_c | ENS-RD2022: op.exp.8.aws.ct.4, op.exp.8.r1.aws.ct.2, op.exp.8.r1.aws.ct.4 | NIST-CSF-1.1: ae_3, ae_4, cm_1, cm_3, cm_6, cm_7, ds_5 | RBI-Cyber-Security-Framework: annex_i_7_4 | FFIEC: d2-ma-ma-b-1, d2-ma-ma-b-2, d3-dc-an-b-3, d3-dc-an-b-4, d3-dc-ev-b-1, d5-dr-de-b-3 | FedRamp-Moderate-Revision-4: ac-2-4, ac-2-g, au-2-a-d, au-3, au-6-1-3, au-12-a-c, ca-7-a-b, si-4-16, si-4-2, si-4-4, si-4-5 | FedRAMP-Low-Revision-4: ac-2, au-2, ca-7;forensics-ready;;;;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-cloudwatch_changes_to_network_acls_alarm_configured-578739262764-us-east-1-578739262764;aws;cloudwatch_changes_to_network_acls_alarm_configured;Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL).;Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;cloudwatch;;medium;AwsCloudTrailTrail;;;Ensure a log metric filter and alarm exist for changes to Network Access Control Lists (NACL).;Monitoring unauthorized API calls will help reveal application errors and may reduce time to detect malicious activity.;https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html;It is recommended that a metric filter and alarm be established for unauthorized requests.;https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html;;https://docs.bridgecrew.io/docs/monitoring_11#fix---buildtime;https://docs.bridgecrew.io/docs/monitoring_11#procedure;;SOC2: cc_7_2, cc_7_3, cc_7_4 | CIS-1.4: 4.11 | CIS-1.5: 4.11 | MITRE-ATTACK: T1496 | ISO27001-2013: A.12.4 | HIPAA: 164_308_a_6_i | CIS-2.0: 4.11 | AWS-Well-Architected-Framework-Security-Pillar: SEC04-BP04 | NIST-800-171-Revision-2: 3_6_1, 3_6_2, 3_12_4 | NIST-800-53-Revision-4: ac_2_4, au_6_1, au_6_3, au_7_1, ca_7, ir_4_1, si_4_2, si_4_4, si_4_5, si_4 | NIST-800-53-Revision-5: au_6_1, au_6_5, au_12_3, au_14_a, au_14_b, ca_2_2, ca_7, ca_7_b, pm_14_a_1, pm_14_b, pm_31, sc_36_1_a, si_2_a, si_4_12, si_5_1, si_5_b | NIST-CSF-1.1: ae_5, cm_2, cm_5, cp_4, ra_5 | FFIEC: d5-dr-de-b-1, d5-dr-de-b-3 | FedRamp-Moderate-Revision-4: ac-2-4, au-6-1-3, au-7-1, ca-7-a-b, ir-4-1, ir-4-1, si-4-2, si-4-4, si-4-5, si-4-a-b-c | FedRAMP-Low-Revision-4: ac-2, ca-7, ir-4;;;;Logging and Monitoring;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
2026-06-07T12:39:22.432298;prowler-aws-cloudwatch_changes_to_network_gateways_alarm_configured-578739262764-us-east-1-578739262764;aws;cloudwatch_changes_to_network_gateways_alarm_configured;Ensure a log metric filter and alarm exist for changes to network gateways.;Software and Configuration Checks/Industry and Regulatory Standards/CIS AWS Foundations Benchmark;FAIL;No CloudWatch log groups found with metric filters or alarms associated.;cloudwatch;;medium;AwsCloudTrailTrail;;;Ensure a log metric filter and alarm exist for changes to network gateways.;Monitoring unauthorized API calls will help reveal application errors and may reduce time to detect malicious activity.;https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html;It is recommended that a metric filter and alarm be established for unauthorized requests.;https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudwatch-alarms-for-cloudtrail.html;;https://docs.bridgecrew.io/docs/monitoring_12#fix---buildtime;https://docs.bridgecrew.io/docs/monitoring_12#procedure;;SOC2: cc_7_2, cc_7_3, cc_7_4 | CIS-1.4: 4.12 | CIS-1.5: 4.12 | MITRE-ATTACK: T1496 | ISO27001-2013: A.12.4 | HIPAA: 164_308_a_6_i | CIS-2.0: 4.12 | AWS-Well-Architected-Framework-Security-Pillar: SEC04-BP04 | NIST-800-171-Revision-2: 3_6_1, 3_6_2, 3_12_4 | NIST-800-53-Revision-4: ac_2_4, au_6_1, au_6_3, au_7_1, ca_7, ir_4_1, si_4_2, si_4_4, si_4_5, si_4 | NIST-800-53-Revision-5: au_6_1, au_6_5, au_12_3, au_14_a, au_14_b, ca_2_2, ca_7, ca_7_b, pm_14_a_1, pm_14_b, pm_31, sc_36_1_a, si_2_a, si_4_12, si_5_1, si_5_b | NIST-CSF-1.1: ae_5, cm_2, cm_5, cp_4, ra_5 | FFIEC: d5-dr-de-b-1, d5-dr-de-b-3 | FedRamp-Moderate-Revision-4: ac-2-4, au-6-1-3, au-7-1, ca-7-a-b, ir-4-1, ir-4-1, si-4-2, si-4-4, si-4-5, si-4-a-b-c | FedRAMP-Low-Revision-4: ir-4;;;;Logging and Monitoring;default;578739262764;;;;;;us-east-1;578739262764;arn:aws:iam::578739262764:root
